,root_article,article_compared,predicted_mapping,"true_mapping""",FP/FN/TP/TN,score,,,,,
1774,"35    37252
Name: id, dtype: int64",78169,No Mapping,No Mapping,TN,0.008583482,,,,,
1775,"35    37252
Name: id, dtype: int64",172087,No Mapping,No Mapping,TN,0.008503301,,,,,
1776,"35    37252
Name: id, dtype: int64",23872,No Mapping,No Mapping,TN,0.0083728,,,,,
1777,"35    37252
Name: id, dtype: int64",21502,No Mapping,No Mapping,TN,0.008335979,,,,,
1778,"35    37252
Name: id, dtype: int64",217502,No Mapping,No Mapping,TN,0.008245624,,,,,
1779,"35    37252
Name: id, dtype: int64",57373,No Mapping,No Mapping,TN,0.008192066,,,,,
1780,"35    37252
Name: id, dtype: int64",135766,No Mapping,No Mapping,TN,0.008155786,,,,,
1781,"35    37252
Name: id, dtype: int64",40617,No Mapping,No Mapping,TN,0.008103303,,,,,
1782,"35    37252
Name: id, dtype: int64",110152,No Mapping,No Mapping,TN,0.0080241,,,,,
1783,"35    37252
Name: id, dtype: int64",190524,No Mapping,No Mapping,TN,0.00797069,,,,,
1784,"35    37252
Name: id, dtype: int64",110145,No Mapping,No Mapping,TN,0.007935775,,,,,
1785,"35    37252
Name: id, dtype: int64",217505,No Mapping,No Mapping,TN,0.007912749,,,,,
1786,"35    37252
Name: id, dtype: int64",71341,No Mapping,No Mapping,TN,0.00778217,,,,,
1787,"35    37252
Name: id, dtype: int64",217498,No Mapping,No Mapping,TN,0.007743295,,,,,
1788,"35    37252
Name: id, dtype: int64",217496,No Mapping,No Mapping,TN,0.0077394,,,,,
1789,"35    37252
Name: id, dtype: int64",110131,No Mapping,No Mapping,TN,0.007704089,,,,,
1790,"35    37252
Name: id, dtype: int64",158005,No Mapping,No Mapping,TN,0.00762907,,,,,
1791,"35    37252
Name: id, dtype: int64",217434,No Mapping,No Mapping,TN,0.007568352,,,,,
1792,"35    37252
Name: id, dtype: int64",21508,No Mapping,No Mapping,TN,0.007547033,,,,,
1793,"35    37252
Name: id, dtype: int64",214893,No Mapping,No Mapping,TN,0.007523917,,,,,
1794,"35    37252
Name: id, dtype: int64",71339,No Mapping,No Mapping,TN,0.007509738,,,,,
1795,"35    37252
Name: id, dtype: int64",80104,No Mapping,No Mapping,TN,0.007478205,,,,,
1796,"35    37252
Name: id, dtype: int64",217427,No Mapping,No Mapping,TN,0.007426005,,,,,
1797,"35    37252
Name: id, dtype: int64",21474,No Mapping,No Mapping,TN,0.007255711,,,,,
1798,"35    37252
Name: id, dtype: int64",217430,No Mapping,No Mapping,TN,0.007176702,,,,,
1799,"35    37252
Name: id, dtype: int64",172092,No Mapping,No Mapping,TN,0.006938876,,,,,
1800,"35    37252
Name: id, dtype: int64",85880,No Mapping,No Mapping,TN,0.006879984,,,,,
1801,"35    37252
Name: id, dtype: int64",217536,No Mapping,No Mapping,TN,0.006725983,,,,,
1802,"35    37252
Name: id, dtype: int64",217440,No Mapping,No Mapping,TN,0.006643908,,,,,
1803,"35    37252
Name: id, dtype: int64",44040,No Mapping,No Mapping,TN,0.006568668,,,,,
1804,"35    37252
Name: id, dtype: int64",120631,No Mapping,No Mapping,TN,0.006556636,,,,,
1805,"35    37252
Name: id, dtype: int64",217523,No Mapping,No Mapping,TN,0.006526309,,,,,
1806,"35    37252
Name: id, dtype: int64",23811,No Mapping,No Mapping,TN,0.006482352,,,,,
1807,"35    37252
Name: id, dtype: int64",157527,No Mapping,No Mapping,TN,0.006474955,,,,,
1808,"35    37252
Name: id, dtype: int64",85810,No Mapping,No Mapping,TN,0.006469686,,,,,
1809,"35    37252
Name: id, dtype: int64",71349,No Mapping,No Mapping,TN,0.006291752,,,,,
1810,"35    37252
Name: id, dtype: int64",21511,No Mapping,No Mapping,TN,0.006185276,,,,,
1811,"35    37252
Name: id, dtype: int64",137143,No Mapping,No Mapping,TN,0.005997561,,,,,
1812,"35    37252
Name: id, dtype: int64",38658,No Mapping,No Mapping,TN,0.005980059,,,,,
1813,"35    37252
Name: id, dtype: int64",57365,No Mapping,No Mapping,TN,0.005682888,,,,,
1814,"35    37252
Name: id, dtype: int64",85807,No Mapping,No Mapping,TN,0.0055753,,,,,
1815,"35    37252
Name: id, dtype: int64",110139,No Mapping,No Mapping,TN,0.00550445,,,,,
1816,"35    37252
Name: id, dtype: int64",110156,No Mapping,No Mapping,TN,0.005468396,,,,,
1817,"35    37252
Name: id, dtype: int64",110159,No Mapping,No Mapping,TN,0.005305209,,,,,
1818,"35    37252
Name: id, dtype: int64",80107,No Mapping,No Mapping,TN,0.00528248,,,,,
1819,"35    37252
Name: id, dtype: int64",217439,No Mapping,No Mapping,TN,0.005272373,,,,,
1820,"35    37252
Name: id, dtype: int64",217433,No Mapping,No Mapping,TN,0.005272373,,,,,
1821,"35    37252
Name: id, dtype: int64",110166,No Mapping,No Mapping,TN,0.005177109,,,,,
1822,"35    37252
Name: id, dtype: int64",217500,No Mapping,No Mapping,TN,0.005103374,,,,,
1823,"35    37252
Name: id, dtype: int64",217495,No Mapping,No Mapping,TN,0.005103374,,,,,
1824,"35    37252
Name: id, dtype: int64",120628,No Mapping,No Mapping,TN,0.005086611,,,,,
1825,"35    37252
Name: id, dtype: int64",80100,No Mapping,No Mapping,TN,0.00504447,,,,,
1826,"35    37252
Name: id, dtype: int64",217484,No Mapping,No Mapping,TN,0.005023321,,,,,
1827,"35    37252
Name: id, dtype: int64",80096,No Mapping,No Mapping,TN,0.004980473,,,,,
1828,"35    37252
Name: id, dtype: int64",217462,No Mapping,No Mapping,TN,0.004365831,,,,,
1829,"35    37252
Name: id, dtype: int64",217472,No Mapping,No Mapping,TN,0.004343314,,,,,
1830,"35    37252
Name: id, dtype: int64",71337,No Mapping,No Mapping,TN,0.004339294,,,,,
1831,"35    37252
Name: id, dtype: int64",190519,No Mapping,No Mapping,TN,0.004334036,,,,,
1832,"35    37252
Name: id, dtype: int64",190495,No Mapping,No Mapping,TN,0.004260689,,,,,
1833,"35    37252
Name: id, dtype: int64",25225,No Mapping,No Mapping,TN,0.004226166,,,,,
1834,"35    37252
Name: id, dtype: int64",71348,No Mapping,No Mapping,TN,0.004186574,,,,,
1835,"35    37252
Name: id, dtype: int64",80113,No Mapping,No Mapping,TN,0.004125419,,,,,
1836,"35    37252
Name: id, dtype: int64",217481,No Mapping,No Mapping,TN,0.003897563,,,,,
1837,"35    37252
Name: id, dtype: int64",214934,No Mapping,No Mapping,TN,0.003877239,,,,,
1838,"35    37252
Name: id, dtype: int64",120639,No Mapping,No Mapping,TN,0.003771681,,,,,
1839,"35    37252
Name: id, dtype: int64",85825,No Mapping,No Mapping,TN,0.003727901,,,,,
1840,"35    37252
Name: id, dtype: int64",217453,No Mapping,No Mapping,TN,0.003666774,,,,,
1841,"35    37252
Name: id, dtype: int64",217442,No Mapping,No Mapping,TN,0.003516103,,,,,
1842,"35    37252
Name: id, dtype: int64",110169,No Mapping,No Mapping,TN,0.003423412,,,,,
1843,"35    37252
Name: id, dtype: int64",85804,No Mapping,No Mapping,TN,0.003402202,,,,,
1844,"35    37252
Name: id, dtype: int64",190518,No Mapping,No Mapping,TN,0.003388685,,,,,
1845,"35    37252
Name: id, dtype: int64",110141,No Mapping,No Mapping,TN,0.003307618,,,,,
1846,"35    37252
Name: id, dtype: int64",172081,No Mapping,No Mapping,TN,0.003285877,,,,,
1847,"35    37252
Name: id, dtype: int64",172088,No Mapping,No Mapping,TN,0.003279004,,,,,
1848,"35    37252
Name: id, dtype: int64",42970,No Mapping,No Mapping,TN,0.003178825,,,,,
1849,"35    37252
Name: id, dtype: int64",57375,No Mapping,No Mapping,TN,0.00296776,,,,,
1850,"35    37252
Name: id, dtype: int64",217418,No Mapping,No Mapping,TN,0.002966022,,,,,
1851,"35    37252
Name: id, dtype: int64",172078,No Mapping,No Mapping,TN,0.002953105,,,,,
1852,"35    37252
Name: id, dtype: int64",80094,No Mapping,No Mapping,TN,0.00281835,,,,,
1853,"35    37252
Name: id, dtype: int64",57379,No Mapping,No Mapping,TN,0.00276386,,,,,
1854,"35    37252
Name: id, dtype: int64",78171,No Mapping,No Mapping,TN,0.002632591,,,,,
1855,"35    37252
Name: id, dtype: int64",110149,No Mapping,No Mapping,TN,0.002568157,,,,,
1856,"35    37252
Name: id, dtype: int64",217510,No Mapping,No Mapping,TN,0.002424036,,,,,
1857,"35    37252
Name: id, dtype: int64",138517,No Mapping,No Mapping,TN,0.002394371,,,,,
1858,"35    37252
Name: id, dtype: int64",152706,No Mapping,No Mapping,TN,0.002368597,,,,,
1859,"35    37252
Name: id, dtype: int64",44642,No Mapping,No Mapping,TN,0.002345428,,,,,
1860,"35    37252
Name: id, dtype: int64",214891,No Mapping,No Mapping,TN,0.002241729,,,,,
1861,"35    37252
Name: id, dtype: int64",110162,No Mapping,No Mapping,TN,0.00223585,,,,,
1862,"35    37252
Name: id, dtype: int64",217437,No Mapping,No Mapping,TN,0.001970558,,,,,
1863,"35    37252
Name: id, dtype: int64",135878,No Mapping,No Mapping,TN,0.001440232,,,,,
1864,"35    37252
Name: id, dtype: int64",190501,No Mapping,No Mapping,TN,0.001440232,,,,,
2010,"75    49480
Name: id, dtype: int64",49480,Anthony Weiner,Anthony Weiner,TP,1,,,,,
2011,"75    49480
Name: id, dtype: int64",110144,Anthony Weiner,Anthony Weiner,TP,0.724683479,,,,,
2012,"75    49480
Name: id, dtype: int64",142300,Anthony Weiner,Anthony Weiner,TP,0.480769049,,,,,
2013,"75    49480
Name: id, dtype: int64",214934,Anthony Weiner,Anthony Weiner,TP,0.440885498,,,,,
2014,"75    49480
Name: id, dtype: int64",85802,No Mapping,No Mapping,TN,0.160789404,,,,,
2015,"75    49480
Name: id, dtype: int64",141701,No Mapping,No Mapping,TN,0.129840717,,,,,
2016,"75    49480
Name: id, dtype: int64",217464,No Mapping,No Mapping,TN,0.108607249,,,,,
2017,"75    49480
Name: id, dtype: int64",139673,No Mapping,No Mapping,TN,0.087474589,,,,,
2018,"75    49480
Name: id, dtype: int64",214889,No Mapping,No Mapping,TN,0.087083675,,,,,
2019,"75    49480
Name: id, dtype: int64",217523,No Mapping,No Mapping,TN,0.084046722,,,,,
2020,"75    49480
Name: id, dtype: int64",139776,No Mapping,No Mapping,TN,0.07673625,,,,,
2021,"75    49480
Name: id, dtype: int64",138517,No Mapping,No Mapping,TN,0.07235394,,,,,
2022,"75    49480
Name: id, dtype: int64",120630,No Mapping,No Mapping,TN,0.066100593,,,,,
2023,"75    49480
Name: id, dtype: int64",48388,No Mapping,No Mapping,TN,0.061396006,,,,,
2024,"75    49480
Name: id, dtype: int64",47078,No Mapping,No Mapping,TN,0.060227484,,,,,
2025,"75    49480
Name: id, dtype: int64",110143,No Mapping,No Mapping,TN,0.0534021,,,,,
2026,"75    49480
Name: id, dtype: int64",139100,No Mapping,No Mapping,TN,0.053237964,,,,,
2027,"75    49480
Name: id, dtype: int64",21474,No Mapping,No Mapping,TN,0.049014155,,,,,
2028,"75    49480
Name: id, dtype: int64",43447,No Mapping,No Mapping,TN,0.047532681,,,,,
2029,"75    49480
Name: id, dtype: int64",40754,No Mapping,No Mapping,TN,0.046526155,,,,,
2030,"75    49480
Name: id, dtype: int64",110171,No Mapping,No Mapping,TN,0.045539584,,,,,
2031,"75    49480
Name: id, dtype: int64",47979,No Mapping,No Mapping,TN,0.043652315,,,,,
2032,"75    49480
Name: id, dtype: int64",110127,No Mapping,No Mapping,TN,0.042225927,,,,,
2033,"75    49480
Name: id, dtype: int64",156656,No Mapping,No Mapping,TN,0.038945873,,,,,
2034,"75    49480
Name: id, dtype: int64",57369,No Mapping,No Mapping,TN,0.038869826,,,,,
2035,"75    49480
Name: id, dtype: int64",190526,No Mapping,No Mapping,TN,0.037386481,,,,,
2036,"75    49480
Name: id, dtype: int64",57377,No Mapping,No Mapping,TN,0.036945977,,,,,
2037,"75    49480
Name: id, dtype: int64",110167,No Mapping,No Mapping,TN,0.036783213,,,,,
2038,"75    49480
Name: id, dtype: int64",40854,No Mapping,No Mapping,TN,0.036166579,,,,,
2039,"75    49480
Name: id, dtype: int64",39730,No Mapping,No Mapping,TN,0.035411791,,,,,
2040,"75    49480
Name: id, dtype: int64",85799,No Mapping,No Mapping,TN,0.035113403,,,,,
2041,"75    49480
Name: id, dtype: int64",80108,No Mapping,No Mapping,TN,0.034745662,,,,,
2042,"75    49480
Name: id, dtype: int64",172086,No Mapping,No Mapping,TN,0.034314338,,,,,
2043,"75    49480
Name: id, dtype: int64",110149,No Mapping,No Mapping,TN,0.03307309,,,,,
2044,"75    49480
Name: id, dtype: int64",71345,No Mapping,No Mapping,TN,0.032388608,,,,,
2045,"75    49480
Name: id, dtype: int64",23811,No Mapping,No Mapping,TN,0.032105733,,,,,
2046,"75    49480
Name: id, dtype: int64",80097,No Mapping,No Mapping,TN,0.031012882,,,,,
2047,"75    49480
Name: id, dtype: int64",214895,No Mapping,No Mapping,TN,0.030744573,,,,,
2048,"75    49480
Name: id, dtype: int64",38952,No Mapping,No Mapping,TN,0.030691376,,,,,
2049,"75    49480
Name: id, dtype: int64",21512,No Mapping,No Mapping,TN,0.029999947,,,,,
2050,"75    49480
Name: id, dtype: int64",23878,No Mapping,No Mapping,TN,0.029842093,,,,,
2051,"75    49480
Name: id, dtype: int64",49416,No Mapping,No Mapping,TN,0.029460822,,,,,
2052,"75    49480
Name: id, dtype: int64",217539,No Mapping,No Mapping,TN,0.028860489,,,,,
2053,"75    49480
Name: id, dtype: int64",57379,No Mapping,No Mapping,TN,0.028641779,,,,,
2054,"75    49480
Name: id, dtype: int64",214877,No Mapping,No Mapping,TN,0.028537109,,,,,
2055,"75    49480
Name: id, dtype: int64",120633,No Mapping,No Mapping,TN,0.027474725,,,,,
2056,"75    49480
Name: id, dtype: int64",217524,No Mapping,No Mapping,TN,0.02719615,,,,,
2057,"75    49480
Name: id, dtype: int64",110169,No Mapping,No Mapping,TN,0.026918122,,,,,
2058,"75    49480
Name: id, dtype: int64",110139,No Mapping,No Mapping,TN,0.026824048,,,,,
2059,"75    49480
Name: id, dtype: int64",172089,No Mapping,No Mapping,TN,0.026185926,,,,,
2060,"75    49480
Name: id, dtype: int64",80113,No Mapping,No Mapping,TN,0.026127153,,,,,
2061,"75    49480
Name: id, dtype: int64",217534,No Mapping,No Mapping,TN,0.025860059,,,,,
2062,"75    49480
Name: id, dtype: int64",134889,No Mapping,No Mapping,TN,0.025507775,,,,,
2063,"75    49480
Name: id, dtype: int64",190512,No Mapping,No Mapping,TN,0.025347602,,,,,
2064,"75    49480
Name: id, dtype: int64",23872,No Mapping,No Mapping,TN,0.02516099,,,,,
2065,"75    49480
Name: id, dtype: int64",85801,No Mapping,No Mapping,TN,0.024716614,,,,,
2066,"75    49480
Name: id, dtype: int64",71344,No Mapping,No Mapping,TN,0.024449329,,,,,
2067,"75    49480
Name: id, dtype: int64",80112,No Mapping,No Mapping,TN,0.024371746,,,,,
2068,"75    49480
Name: id, dtype: int64",217435,No Mapping,No Mapping,TN,0.024206112,,,,,
2069,"75    49480
Name: id, dtype: int64",217536,No Mapping,No Mapping,TN,0.024022451,,,,,
2070,"75    49480
Name: id, dtype: int64",42951,No Mapping,No Mapping,TN,0.023853092,,,,,
2071,"75    49480
Name: id, dtype: int64",57364,No Mapping,No Mapping,TN,0.023729617,,,,,
2072,"75    49480
Name: id, dtype: int64",85880,No Mapping,No Mapping,TN,0.023602437,,,,,
2073,"75    49480
Name: id, dtype: int64",71341,No Mapping,No Mapping,TN,0.022830787,,,,,
2074,"75    49480
Name: id, dtype: int64",138709,No Mapping,No Mapping,TN,0.022795956,,,,,
2075,"75    49480
Name: id, dtype: int64",214973,No Mapping,No Mapping,TN,0.022737553,,,,,
2076,"75    49480
Name: id, dtype: int64",47017,No Mapping,No Mapping,TN,0.022470452,,,,,
2077,"75    49480
Name: id, dtype: int64",138339,No Mapping,No Mapping,TN,0.022378785,,,,,
2078,"75    49480
Name: id, dtype: int64",57410,No Mapping,No Mapping,TN,0.022297987,,,,,
2079,"75    49480
Name: id, dtype: int64",214943,No Mapping,No Mapping,TN,0.022085084,,,,,
2080,"75    49480
Name: id, dtype: int64",50026,No Mapping,No Mapping,TN,0.021554489,,,,,
2081,"75    49480
Name: id, dtype: int64",217424,No Mapping,No Mapping,TN,0.021507199,,,,,
2082,"75    49480
Name: id, dtype: int64",46175,No Mapping,No Mapping,TN,0.021290687,,,,,
2083,"75    49480
Name: id, dtype: int64",80111,No Mapping,No Mapping,TN,0.021192185,,,,,
2084,"75    49480
Name: id, dtype: int64",217507,No Mapping,No Mapping,TN,0.021120722,,,,,
2085,"75    49480
Name: id, dtype: int64",57360,No Mapping,No Mapping,TN,0.020599034,,,,,
2086,"75    49480
Name: id, dtype: int64",217482,No Mapping,No Mapping,TN,0.020313516,,,,,
2087,"75    49480
Name: id, dtype: int64",85797,No Mapping,No Mapping,TN,0.020157655,,,,,
2088,"75    49480
Name: id, dtype: int64",151262,No Mapping,No Mapping,TN,0.019719474,,,,,
2089,"75    49480
Name: id, dtype: int64",43672,No Mapping,No Mapping,TN,0.01920557,,,,,
2090,"75    49480
Name: id, dtype: int64",151991,No Mapping,No Mapping,TN,0.019102769,,,,,
2091,"75    49480
Name: id, dtype: int64",22918,No Mapping,No Mapping,TN,0.019045612,,,,,
2092,"75    49480
Name: id, dtype: int64",214884,No Mapping,No Mapping,TN,0.018696265,,,,,
2093,"75    49480
Name: id, dtype: int64",214876,No Mapping,No Mapping,TN,0.01866381,,,,,
2094,"75    49480
Name: id, dtype: int64",21500,No Mapping,No Mapping,TN,0.018581875,,,,,
2095,"75    49480
Name: id, dtype: int64",137143,No Mapping,No Mapping,TN,0.018242225,,,,,
2096,"75    49480
Name: id, dtype: int64",80104,No Mapping,No Mapping,TN,0.017978721,,,,,
2097,"75    49480
Name: id, dtype: int64",23888,No Mapping,No Mapping,TN,0.017865134,,,,,
2098,"75    49480
Name: id, dtype: int64",157295,No Mapping,No Mapping,TN,0.017482972,,,,,
2099,"75    49480
Name: id, dtype: int64",172080,No Mapping,No Mapping,TN,0.017095089,,,,,
2100,"75    49480
Name: id, dtype: int64",172078,No Mapping,No Mapping,TN,0.017039254,,,,,
2101,"75    49480
Name: id, dtype: int64",21506,No Mapping,No Mapping,TN,0.016940566,,,,,
2102,"75    49480
Name: id, dtype: int64",57378,No Mapping,No Mapping,TN,0.016938471,,,,,
2103,"75    49480
Name: id, dtype: int64",42970,No Mapping,No Mapping,TN,0.016737144,,,,,
2104,"75    49480
Name: id, dtype: int64",48306,No Mapping,No Mapping,TN,0.016332695,,,,,
2105,"75    49480
Name: id, dtype: int64",36979,No Mapping,No Mapping,TN,0.016085148,,,,,
2106,"75    49480
Name: id, dtype: int64",49458,No Mapping,No Mapping,TN,0.016054219,,,,,
2107,"75    49480
Name: id, dtype: int64",57365,No Mapping,No Mapping,TN,0.015986571,,,,,
2108,"75    49480
Name: id, dtype: int64",85810,No Mapping,No Mapping,TN,0.015954192,,,,,
2109,"75    49480
Name: id, dtype: int64",217490,No Mapping,No Mapping,TN,0.01585162,,,,,
2110,"75    49480
Name: id, dtype: int64",217418,No Mapping,No Mapping,TN,0.015616694,,,,,
2111,"75    49480
Name: id, dtype: int64",190496,No Mapping,No Mapping,TN,0.015610006,,,,,
2112,"75    49480
Name: id, dtype: int64",135766,No Mapping,No Mapping,TN,0.01536109,,,,,
2113,"75    49480
Name: id, dtype: int64",49198,No Mapping,No Mapping,TN,0.015215394,,,,,
2114,"75    49480
Name: id, dtype: int64",85793,No Mapping,No Mapping,TN,0.015060377,,,,,
2115,"75    49480
Name: id, dtype: int64",214892,No Mapping,No Mapping,TN,0.015029643,,,,,
2116,"75    49480
Name: id, dtype: int64",110175,No Mapping,No Mapping,TN,0.014965396,,,,,
2117,"75    49480
Name: id, dtype: int64",44040,No Mapping,No Mapping,TN,0.014903075,,,,,
2118,"75    49480
Name: id, dtype: int64",80100,No Mapping,No Mapping,TN,0.014799113,,,,,
2119,"75    49480
Name: id, dtype: int64",217501,No Mapping,No Mapping,TN,0.014743369,,,,,
2120,"75    49480
Name: id, dtype: int64",217493,No Mapping,No Mapping,TN,0.014643632,,,,,
2121,"75    49480
Name: id, dtype: int64",120629,No Mapping,No Mapping,TN,0.014611971,,,,,
2122,"75    49480
Name: id, dtype: int64",214888,No Mapping,No Mapping,TN,0.014551279,,,,,
2123,"75    49480
Name: id, dtype: int64",85803,No Mapping,No Mapping,TN,0.014495163,,,,,
2124,"75    49480
Name: id, dtype: int64",217492,No Mapping,No Mapping,TN,0.014343162,,,,,
2125,"75    49480
Name: id, dtype: int64",172083,No Mapping,No Mapping,TN,0.014257711,,,,,
2126,"75    49480
Name: id, dtype: int64",39167,No Mapping,No Mapping,TN,0.014106563,,,,,
2127,"75    49480
Name: id, dtype: int64",138243,No Mapping,No Mapping,TN,0.014075478,,,,,
2128,"75    49480
Name: id, dtype: int64",151832,No Mapping,No Mapping,TN,0.014005208,,,,,
2129,"75    49480
Name: id, dtype: int64",80105,No Mapping,No Mapping,TN,0.013962766,,,,,
2130,"75    49480
Name: id, dtype: int64",21504,No Mapping,No Mapping,TN,0.013960196,,,,,
2131,"75    49480
Name: id, dtype: int64",48914,No Mapping,No Mapping,TN,0.01392424,,,,,
2132,"75    49480
Name: id, dtype: int64",37252,No Mapping,No Mapping,TN,0.013630165,,,,,
2133,"75    49480
Name: id, dtype: int64",110135,No Mapping,No Mapping,TN,0.013558281,,,,,
2134,"75    49480
Name: id, dtype: int64",217478,No Mapping,No Mapping,TN,0.013435743,,,,,
2135,"75    49480
Name: id, dtype: int64",36823,No Mapping,No Mapping,TN,0.013346519,,,,,
2136,"75    49480
Name: id, dtype: int64",217527,No Mapping,No Mapping,TN,0.013346374,,,,,
2137,"75    49480
Name: id, dtype: int64",57385,No Mapping,No Mapping,TN,0.013196965,,,,,
2138,"75    49480
Name: id, dtype: int64",217483,No Mapping,No Mapping,TN,0.013088127,,,,,
2139,"75    49480
Name: id, dtype: int64",217474,No Mapping,No Mapping,TN,0.012984947,,,,,
2140,"75    49480
Name: id, dtype: int64",71346,No Mapping,No Mapping,TN,0.012853598,,,,,
2141,"75    49480
Name: id, dtype: int64",85798,No Mapping,No Mapping,TN,0.012782992,,,,,
2142,"75    49480
Name: id, dtype: int64",39232,No Mapping,No Mapping,TN,0.012562375,,,,,
2143,"75    49480
Name: id, dtype: int64",152706,No Mapping,No Mapping,TN,0.01204853,,,,,
2144,"75    49480
Name: id, dtype: int64",80103,No Mapping,No Mapping,TN,0.011809682,,,,,
2145,"75    49480
Name: id, dtype: int64",80110,No Mapping,No Mapping,TN,0.011714597,,,,,
2146,"75    49480
Name: id, dtype: int64",80099,No Mapping,No Mapping,TN,0.011499365,,,,,
2147,"75    49480
Name: id, dtype: int64",217484,No Mapping,No Mapping,TN,0.01144089,,,,,
2148,"75    49480
Name: id, dtype: int64",110146,No Mapping,No Mapping,TN,0.011405272,,,,,
2149,"75    49480
Name: id, dtype: int64",152512,No Mapping,No Mapping,TN,0.011400936,,,,,
2150,"75    49480
Name: id, dtype: int64",217529,No Mapping,No Mapping,TN,0.011303861,,,,,
2151,"75    49480
Name: id, dtype: int64",214893,No Mapping,No Mapping,TN,0.011280407,,,,,
2152,"75    49480
Name: id, dtype: int64",43849,No Mapping,No Mapping,TN,0.010891123,,,,,
2153,"75    49480
Name: id, dtype: int64",110156,No Mapping,No Mapping,TN,0.010819947,,,,,
2154,"75    49480
Name: id, dtype: int64",172100,No Mapping,No Mapping,TN,0.010644921,,,,,
2155,"75    49480
Name: id, dtype: int64",140086,No Mapping,No Mapping,TN,0.010371906,,,,,
2156,"75    49480
Name: id, dtype: int64",25225,No Mapping,No Mapping,TN,0.009969355,,,,,
2157,"75    49480
Name: id, dtype: int64",136866,No Mapping,No Mapping,TN,0.009312721,,,,,
2158,"75    49480
Name: id, dtype: int64",217519,No Mapping,No Mapping,TN,0.009200443,,,,,
2159,"75    49480
Name: id, dtype: int64",172095,No Mapping,No Mapping,TN,0.009069765,,,,,
2160,"75    49480
Name: id, dtype: int64",71340,No Mapping,No Mapping,TN,0.008974729,,,,,
2161,"75    49480
Name: id, dtype: int64",110150,No Mapping,No Mapping,TN,0.008843646,,,,,
2162,"75    49480
Name: id, dtype: int64",110133,No Mapping,No Mapping,TN,0.008825281,,,,,
2163,"75    49480
Name: id, dtype: int64",217419,No Mapping,No Mapping,TN,0.008793236,,,,,
2164,"75    49480
Name: id, dtype: int64",44642,No Mapping,No Mapping,TN,0.008120308,,,,,
2165,"75    49480
Name: id, dtype: int64",110162,No Mapping,No Mapping,TN,0.008047566,,,,,
2166,"75    49480
Name: id, dtype: int64",217502,No Mapping,No Mapping,TN,0.008025258,,,,,
2167,"75    49480
Name: id, dtype: int64",142033,No Mapping,No Mapping,TN,0.007754785,,,,,
2168,"75    49480
Name: id, dtype: int64",217505,No Mapping,No Mapping,TN,0.00770128,,,,,
2169,"75    49480
Name: id, dtype: int64",172098,No Mapping,No Mapping,TN,0.007663546,,,,,
2170,"75    49480
Name: id, dtype: int64",217511,No Mapping,No Mapping,TN,0.00758514,,,,,
2171,"75    49480
Name: id, dtype: int64",217498,No Mapping,No Mapping,TN,0.007536354,,,,,
2172,"75    49480
Name: id, dtype: int64",217496,No Mapping,No Mapping,TN,0.007532563,,,,,
2173,"75    49480
Name: id, dtype: int64",217532,No Mapping,No Mapping,TN,0.007455068,,,,,
2174,"75    49480
Name: id, dtype: int64",21499,No Mapping,No Mapping,TN,0.007322669,,,,,
2175,"75    49480
Name: id, dtype: int64",46896,No Mapping,No Mapping,TN,0.00730956,,,,,
2176,"75    49480
Name: id, dtype: int64",190517,No Mapping,No Mapping,TN,0.007194436,,,,,
2177,"75    49480
Name: id, dtype: int64",44928,No Mapping,No Mapping,TN,0.007129308,,,,,
2178,"75    49480
Name: id, dtype: int64",57441,No Mapping,No Mapping,TN,0.006925939,,,,,
2179,"75    49480
Name: id, dtype: int64",78170,No Mapping,No Mapping,TN,0.006856915,,,,,
2180,"75    49480
Name: id, dtype: int64",110157,No Mapping,No Mapping,TN,0.006724338,,,,,
2181,"75    49480
Name: id, dtype: int64",110164,No Mapping,No Mapping,TN,0.006673758,,,,,
2182,"75    49480
Name: id, dtype: int64",26536,No Mapping,No Mapping,TN,0.006647806,,,,,
2183,"75    49480
Name: id, dtype: int64",214878,No Mapping,No Mapping,TN,0.006626438,,,,,
2184,"75    49480
Name: id, dtype: int64",214883,No Mapping,No Mapping,TN,0.00645481,,,,,
2185,"75    49480
Name: id, dtype: int64",85807,No Mapping,No Mapping,TN,0.006436278,,,,,
2186,"75    49480
Name: id, dtype: int64",57418,No Mapping,No Mapping,TN,0.006108832,,,,,
2187,"75    49480
Name: id, dtype: int64",120637,No Mapping,No Mapping,TN,0.006051693,,,,,
2188,"75    49480
Name: id, dtype: int64",37468,No Mapping,No Mapping,TN,0.005889357,,,,,
2189,"75    49480
Name: id, dtype: int64",110141,No Mapping,No Mapping,TN,0.005423725,,,,,
2190,"75    49480
Name: id, dtype: int64",135213,No Mapping,No Mapping,TN,0.00505276,,,,,
2191,"75    49480
Name: id, dtype: int64",36650,No Mapping,No Mapping,TN,0.00503784,,,,,
2192,"75    49480
Name: id, dtype: int64",25226,No Mapping,No Mapping,TN,0.004997324,,,,,
2193,"75    49480
Name: id, dtype: int64",57362,No Mapping,No Mapping,TN,0.004991943,,,,,
2194,"75    49480
Name: id, dtype: int64",190495,No Mapping,No Mapping,TN,0.004918655,,,,,
2195,"75    49480
Name: id, dtype: int64",71348,No Mapping,No Mapping,TN,0.004833095,,,,,
2196,"75    49480
Name: id, dtype: int64",35723,No Mapping,No Mapping,TN,0.004788884,,,,,
