,root_article,article_compared,cateogry ID,FP/FN/TP/TN,score
1304,"292    214888
Name: id, dtype: int64",190512,No Mapping,TN,0.030619319
1305,"292    214888
Name: id, dtype: int64",71345,No Mapping,TN,0.030610427
1306,"238    158005
Name: id, dtype: int64",120637,No Mapping,TN,0.030606145
1307,"227    151832
Name: id, dtype: int64",217488,No Mapping,TN,0.030601152
1308,"1    21448
Name: id, dtype: int64",134921,No Mapping,TN,0.030582073
1309,"227    151832
Name: id, dtype: int64",217463,No Mapping,TN,0.030549696
1310,"227    151832
Name: id, dtype: int64",217462,No Mapping,TN,0.030549696
1311,"350    217466
Name: id, dtype: int64",57380,No Mapping,TN,0.030537893
1312,"350    217466
Name: id, dtype: int64",110133,No Mapping,TN,0.030457077
1313,"292    214888
Name: id, dtype: int64",110133,No Mapping,TN,0.030444763
1314,"238    158005
Name: id, dtype: int64",35776,No Mapping,TN,0.030432723
1315,"1    21448
Name: id, dtype: int64",23888,No Mapping,TN,0.030380109
1316,"227    151832
Name: id, dtype: int64",217524,No Mapping,TN,0.030305452
1317,"374    217490
Name: id, dtype: int64",136158,No Mapping,TN,0.030266929
1318,"292    214888
Name: id, dtype: int64",80101,No Mapping,TN,0.03025659
1319,"75    49480
Name: id, dtype: int64",23878,No Mapping,TN,0.030256481
1320,"197    120639
Name: id, dtype: int64",217517,No Mapping,TN,0.0301088
1321,"227    151832
Name: id, dtype: int64",110165,No Mapping,TN,0.030075746
1322,"46    40617
Name: id, dtype: int64",217524,No Mapping,TN,0.029968498
1323,"75    49480
Name: id, dtype: int64",21512,No Mapping,TN,0.029922754
1324,"292    214888
Name: id, dtype: int64",25227,No Mapping,TN,0.029893256
1325,"241    172079
Name: id, dtype: int64",110143,No Mapping,TN,0.029892585
1326,"292    214888
Name: id, dtype: int64",217523,No Mapping,TN,0.029886549
1327,"227    151832
Name: id, dtype: int64",80105,No Mapping,TN,0.029854735
1328,"35    37252
Name: id, dtype: int64",110133,No Mapping,TN,0.029845727
1329,"292    214888
Name: id, dtype: int64",21504,No Mapping,TN,0.029822402
1330,"350    217466
Name: id, dtype: int64",110160,No Mapping,TN,0.029806762
1331,"75    49480
Name: id, dtype: int64",49416,No Mapping,TN,0.029796099
1332,"227    151832
Name: id, dtype: int64",217521,No Mapping,TN,0.02978975
1333,"241    172079
Name: id, dtype: int64",217511,No Mapping,TN,0.029725801
1334,"292    214888
Name: id, dtype: int64",80094,No Mapping,TN,0.02966348
1335,"118    80094
Name: id, dtype: int64",214888,No Mapping,TN,0.02966348
1336,"197    120639
Name: id, dtype: int64",172077,No Mapping,TN,0.029601581
1337,"350    217466
Name: id, dtype: int64",21502,No Mapping,TN,0.029589637
1338,"238    158005
Name: id, dtype: int64",110129,No Mapping,TN,0.029559052
1339,"241    172079
Name: id, dtype: int64",217522,No Mapping,TN,0.029537803
1340,"292    214888
Name: id, dtype: int64",214892,No Mapping,TN,0.029490493
1341,"46    40617
Name: id, dtype: int64",42951,No Mapping,TN,0.029469675
1342,"241    172079
Name: id, dtype: int64",151598,No Mapping,TN,0.029400436
1343,"302    217418
Name: id, dtype: int64",172089,No Mapping,TN,0.029392438
1344,"292    214888
Name: id, dtype: int64",71338,No Mapping,TN,0.029389299
1345,"118    80094
Name: id, dtype: int64",217452,No Mapping,TN,0.029375623
1346,"118    80094
Name: id, dtype: int64",217450,No Mapping,TN,0.029375623
1347,"46    40617
Name: id, dtype: int64",214888,No Mapping,TN,0.029351905
1348,"292    214888
Name: id, dtype: int64",40617,No Mapping,TN,0.029351905
1349,"197    120639
Name: id, dtype: int64",80111,No Mapping,TN,0.029324433
1350,"52    43447
Name: id, dtype: int64",172102,No Mapping,TN,0.029299684
1351,"46    40617
Name: id, dtype: int64",85803,No Mapping,TN,0.029288815
1352,"238    158005
Name: id, dtype: int64",85805,No Mapping,TN,0.029264353
1353,"374    217490
Name: id, dtype: int64",23878,No Mapping,TN,0.029260922
1354,"374    217490
Name: id, dtype: int64",80113,No Mapping,TN,0.029223042
1355,"1    21448
Name: id, dtype: int64",172086,No Mapping,TN,0.029185754
1356,"302    217418
Name: id, dtype: int64",217534,No Mapping,TN,0.029166655
1357,"227    151832
Name: id, dtype: int64",217523,No Mapping,TN,0.02909624
1358,"350    217466
Name: id, dtype: int64",46560,No Mapping,TN,0.028978098
1359,"374    217490
Name: id, dtype: int64",172077,No Mapping,TN,0.028977786
1360,"75    49480
Name: id, dtype: int64",217539,No Mapping,TN,0.028949892
1361,"292    214888
Name: id, dtype: int64",85807,No Mapping,TN,0.028947543
1362,"374    217490
Name: id, dtype: int64",217475,No Mapping,TN,0.028910582
1363,"238    158005
Name: id, dtype: int64",39232,No Mapping,TN,0.028856295
1364,"75    49480
Name: id, dtype: int64",57379,No Mapping,TN,0.028823557
1365,"52    43447
Name: id, dtype: int64",217457,No Mapping,TN,0.028798987
1366,"302    217418
Name: id, dtype: int64",49458,No Mapping,TN,0.028757517
1367,"1    21448
Name: id, dtype: int64",71341,No Mapping,TN,0.028745702
1368,"52    43447
Name: id, dtype: int64",142208,No Mapping,TN,0.028741115
1369,"1    21448
Name: id, dtype: int64",172083,No Mapping,TN,0.028719889
1370,"241    172079
Name: id, dtype: int64",110150,No Mapping,TN,0.028717689
1371,"302    217418
Name: id, dtype: int64",217533,No Mapping,TN,0.028715548
1372,"197    120639
Name: id, dtype: int64",190519,No Mapping,TN,0.028710013
1373,"326    217442
Name: id, dtype: int64",47403,No Mapping,TN,0.028656411
1374,"118    80094
Name: id, dtype: int64",80093,No Mapping,TN,0.028623483
1375,"75    49480
Name: id, dtype: int64",214877,No Mapping,TN,0.028562298
1376,"238    158005
Name: id, dtype: int64",110164,No Mapping,TN,0.028527174
1377,"292    214888
Name: id, dtype: int64",48914,No Mapping,TN,0.028520668
1378,"292    214888
Name: id, dtype: int64",40543,No Mapping,TN,0.028515038
1379,"326    217442
Name: id, dtype: int64",71350,No Mapping,TN,0.028493164
1380,"46    40617
Name: id, dtype: int64",142208,No Mapping,TN,0.028478524
1381,"118    80094
Name: id, dtype: int64",80104,No Mapping,TN,0.028453589
1382,"118    80094
Name: id, dtype: int64",110166,No Mapping,TN,0.028437411
1383,"227    151832
Name: id, dtype: int64",80101,No Mapping,TN,0.028429848
1384,"37    38658
Name: id, dtype: int64",43318,No Mapping,TN,0.028402208
1385,"37    38658
Name: id, dtype: int64",85801,No Mapping,TN,0.02836618
1386,"326    217442
Name: id, dtype: int64",217426,No Mapping,TN,0.028363369
1387,"46    40617
Name: id, dtype: int64",21508,No Mapping,TN,0.028280061
1388,"241    172079
Name: id, dtype: int64",110171,No Mapping,TN,0.028274387
1389,"35    37252
Name: id, dtype: int64",190496,No Mapping,TN,0.02824075
1390,"326    217442
Name: id, dtype: int64",120634,No Mapping,TN,0.028220308
1391,"52    43447
Name: id, dtype: int64",172086,No Mapping,TN,0.028204686
1392,"374    217490
Name: id, dtype: int64",71335,No Mapping,TN,0.028097273
1393,"52    43447
Name: id, dtype: int64",172096,No Mapping,TN,0.02807934
1394,"238    158005
Name: id, dtype: int64",36650,No Mapping,TN,0.027986178
1395,"350    217466
Name: id, dtype: int64",214877,No Mapping,TN,0.027940557
1396,"292    214888
Name: id, dtype: int64",217522,No Mapping,TN,0.027900264
1397,"118    80094
Name: id, dtype: int64",43849,No Mapping,TN,0.027866255
1398,"118    80094
Name: id, dtype: int64",35347,No Mapping,TN,0.027861222
1399,"1    21448
Name: id, dtype: int64",217468,No Mapping,TN,0.027854029
1400,"75    49480
Name: id, dtype: int64",120633,No Mapping,TN,0.027785477
1401,"326    217442
Name: id, dtype: int64",37468,No Mapping,TN,0.027771191
1402,"1    21448
Name: id, dtype: int64",80105,No Mapping,TN,0.027759154
1403,"241    172079
Name: id, dtype: int64",80094,No Mapping,TN,0.027686765
1404,"118    80094
Name: id, dtype: int64",172079,No Mapping,TN,0.027686765
1405,"326    217442
Name: id, dtype: int64",217495,No Mapping,TN,0.027685591
1406,"326    217442
Name: id, dtype: int64",217500,No Mapping,TN,0.027685591
1407,"197    120639
Name: id, dtype: int64",190526,No Mapping,TN,0.027685225
1408,"52    43447
Name: id, dtype: int64",217454,No Mapping,TN,0.0276696
1409,"46    40617
Name: id, dtype: int64",217468,No Mapping,TN,0.027647042
1410,"374    217490
Name: id, dtype: int64",141886,No Mapping,TN,0.02758617
1411,"227    151832
Name: id, dtype: int64",137143,No Mapping,TN,0.027518396
1412,"241    172079
Name: id, dtype: int64",157527,No Mapping,TN,0.02751014
1413,"1    21448
Name: id, dtype: int64",190522,No Mapping,TN,0.027499766
1414,"326    217442
Name: id, dtype: int64",214895,No Mapping,TN,0.027492045
1415,"75    49480
Name: id, dtype: int64",217524,No Mapping,TN,0.027483761
1416,"37    38658
Name: id, dtype: int64",217527,No Mapping,TN,0.027483206
1417,"197    120639
Name: id, dtype: int64",190520,No Mapping,TN,0.027466617
1418,"197    120639
Name: id, dtype: int64",217526,No Mapping,TN,0.027442512
1419,"1    21448
Name: id, dtype: int64",71349,No Mapping,TN,0.027429411
1420,"52    43447
Name: id, dtype: int64",110156,No Mapping,TN,0.027420335
1421,"37    38658
Name: id, dtype: int64",57360,No Mapping,TN,0.027378405
1422,"35    37252
Name: id, dtype: int64",21500,No Mapping,TN,0.027296272
1423,"35    37252
Name: id, dtype: int64",35347,No Mapping,TN,0.027276271
1424,"118    80094
Name: id, dtype: int64",172091,No Mapping,TN,0.027268692
1425,"326    217442
Name: id, dtype: int64",217429,No Mapping,TN,0.027265831
1426,"238    158005
Name: id, dtype: int64",214943,No Mapping,TN,0.027217276
1427,"292    214888
Name: id, dtype: int64",217425,No Mapping,TN,0.027213645
1428,"197    120639
Name: id, dtype: int64",47403,No Mapping,TN,0.027212423
1429,"302    217418
Name: id, dtype: int64",172098,No Mapping,TN,0.0271945
1430,"197    120639
Name: id, dtype: int64",43672,No Mapping,TN,0.027184823
1431,"227    151832
Name: id, dtype: int64",139776,No Mapping,TN,0.027182441
1432,"350    217466
Name: id, dtype: int64",110164,No Mapping,TN,0.027165667
1433,"46    40617
Name: id, dtype: int64",43849,No Mapping,TN,0.02716043
1434,"227    151832
Name: id, dtype: int64",71340,No Mapping,TN,0.02714546
1435,"118    80094
Name: id, dtype: int64",46560,No Mapping,TN,0.027054727
1436,"197    120639
Name: id, dtype: int64",217431,No Mapping,TN,0.027046831
1437,"75    49480
Name: id, dtype: int64",110169,No Mapping,TN,0.027038351
1438,"52    43447
Name: id, dtype: int64",78170,No Mapping,TN,0.027024153
1439,"46    40617
Name: id, dtype: int64",80105,No Mapping,TN,0.026999518
1440,"227    151832
Name: id, dtype: int64",35996,No Mapping,TN,0.026998993
1441,"35    37252
Name: id, dtype: int64",217524,No Mapping,TN,0.026993942
1442,"1    21448
Name: id, dtype: int64",217466,No Mapping,TN,0.026955733
1443,"350    217466
Name: id, dtype: int64",21448,No Mapping,TN,0.026955733
1444,"75    49480
Name: id, dtype: int64",110139,No Mapping,TN,0.026913213
1445,"241    172079
Name: id, dtype: int64",172080,No Mapping,TN,0.026857765
1446,"238    158005
Name: id, dtype: int64",44928,No Mapping,TN,0.026807018
1447,"118    80094
Name: id, dtype: int64",120630,No Mapping,TN,0.026764279
1448,"350    217466
Name: id, dtype: int64",152264,No Mapping,TN,0.026708835
1449,"52    43447
Name: id, dtype: int64",39730,No Mapping,TN,0.026698533
1450,"302    217418
Name: id, dtype: int64",21500,No Mapping,TN,0.026613678
1451,"238    158005
Name: id, dtype: int64",57441,No Mapping,TN,0.026610633
1452,"35    37252
Name: id, dtype: int64",110129,No Mapping,TN,0.026551057
1453,"52    43447
Name: id, dtype: int64",49614,No Mapping,TN,0.026507502
1454,"292    214888
Name: id, dtype: int64",71335,No Mapping,TN,0.026468315
1455,"118    80094
Name: id, dtype: int64",217456,No Mapping,TN,0.026399704
1456,"247    172085
Name: id, dtype: int64",190524,No Mapping,TN,0.026319743
1457,"350    217466
Name: id, dtype: int64",80108,No Mapping,TN,0.026261594
1458,"75    49480
Name: id, dtype: int64",172089,No Mapping,TN,0.026193943
1459,"75    49480
Name: id, dtype: int64",80113,No Mapping,TN,0.026189522
1460,"350    217466
Name: id, dtype: int64",71336,No Mapping,TN,0.026096445
1461,"302    217418
Name: id, dtype: int64",156656,No Mapping,TN,0.026073741
1462,"292    214888
Name: id, dtype: int64",217511,No Mapping,TN,0.026042917
1463,"292    214888
Name: id, dtype: int64",57366,No Mapping,TN,0.025975568
1464,"46    40617
Name: id, dtype: int64",57410,No Mapping,TN,0.025968857
1465,"52    43447
Name: id, dtype: int64",217534,No Mapping,TN,0.025955915
1466,"302    217418
Name: id, dtype: int64",57369,No Mapping,TN,0.025950842
1467,"35    37252
Name: id, dtype: int64",71336,No Mapping,TN,0.025917509
1468,"292    214888
Name: id, dtype: int64",217532,No Mapping,TN,0.025903579
1469,"374    217490
Name: id, dtype: int64",85801,No Mapping,TN,0.025899131
1470,"374    217490
Name: id, dtype: int64",25225,No Mapping,TN,0.025888654
1471,"52    43447
Name: id, dtype: int64",214875,No Mapping,TN,0.025866074
1472,"227    151832
Name: id, dtype: int64",190522,No Mapping,TN,0.025863452
1473,"75    49480
Name: id, dtype: int64",217534,No Mapping,TN,0.025852059
1474,"52    43447
Name: id, dtype: int64",25226,No Mapping,TN,0.025837967
1684,"118    80094
Name: id, dtype: int64",85805,No Mapping,TN,0.025826621
1685,"238    158005
Name: id, dtype: int64",217426,No Mapping,TN,0.025816349
1686,"241    172079
Name: id, dtype: int64",110159,No Mapping,TN,0.025730853
1687,"350    217466
Name: id, dtype: int64",25226,No Mapping,TN,0.025706629
1688,"1    21448
Name: id, dtype: int64",40543,No Mapping,TN,0.025685664
1689,"292    214888
Name: id, dtype: int64",110166,No Mapping,TN,0.025649243
1690,"302    217418
Name: id, dtype: int64",134921,No Mapping,TN,0.02564457
1691,"46    40617
Name: id, dtype: int64",172087,No Mapping,TN,0.025614949
1692,"302    217418
Name: id, dtype: int64",44642,No Mapping,TN,0.02560173
1693,"75    49480
Name: id, dtype: int64",134889,No Mapping,TN,0.025600272
1694,"302    217418
Name: id, dtype: int64",85807,No Mapping,TN,0.025573092
1695,"350    217466
Name: id, dtype: int64",141886,No Mapping,TN,0.025573084
1696,"302    217418
Name: id, dtype: int64",217448,No Mapping,TN,0.025567439
1697,"302    217418
Name: id, dtype: int64",217449,No Mapping,TN,0.025567439
1698,"37    38658
Name: id, dtype: int64",21504,No Mapping,TN,0.025565474
1699,"35    37252
Name: id, dtype: int64",85798,No Mapping,TN,0.025526257
1700,"241    172079
Name: id, dtype: int64",78171,No Mapping,TN,0.025509122
1701,"75    49480
Name: id, dtype: int64",190512,No Mapping,TN,0.025484996
1702,"326    217442
Name: id, dtype: int64",217432,No Mapping,TN,0.025461183
1703,"326    217442
Name: id, dtype: int64",217428,No Mapping,TN,0.025461183
1704,"35    37252
Name: id, dtype: int64",217468,No Mapping,TN,0.025451686
1705,"241    172079
Name: id, dtype: int64",217448,No Mapping,TN,0.025421291
1706,"241    172079
Name: id, dtype: int64",217449,No Mapping,TN,0.025421291
1707,"374    217490
Name: id, dtype: int64",57372,No Mapping,TN,0.025417569
1708,"35    37252
Name: id, dtype: int64",80092,No Mapping,TN,0.025366791
1709,"118    80094
Name: id, dtype: int64",217419,No Mapping,TN,0.025325544
1710,"52    43447
Name: id, dtype: int64",217533,No Mapping,TN,0.025288554
1711,"75    49480
Name: id, dtype: int64",23872,No Mapping,TN,0.025200313
1712,"118    80094
Name: id, dtype: int64",110146,No Mapping,TN,0.025188743
1713,"238    158005
Name: id, dtype: int64",172091,No Mapping,TN,0.025148101
1714,"241    172079
Name: id, dtype: int64",44993,No Mapping,TN,0.025132141
1715,"292    214888
Name: id, dtype: int64",36650,No Mapping,TN,0.025077056
1716,"302    217418
Name: id, dtype: int64",217530,No Mapping,TN,0.025066475
1717,"75    49480
Name: id, dtype: int64",85801,No Mapping,TN,0.025023623
1718,"197    120639
Name: id, dtype: int64",21510,No Mapping,TN,0.025015958
1719,"241    172079
Name: id, dtype: int64",80108,No Mapping,TN,0.025001706
1720,"197    120639
Name: id, dtype: int64",172083,No Mapping,TN,0.024986956
1721,"118    80094
Name: id, dtype: int64",217459,No Mapping,TN,0.024980751
1722,"118    80094
Name: id, dtype: int64",110150,No Mapping,TN,0.0249533
1723,"374    217490
Name: id, dtype: int64",217465,No Mapping,TN,0.02495044
1724,"118    80094
Name: id, dtype: int64",110172,No Mapping,TN,0.024885647
1725,"238    158005
Name: id, dtype: int64",71345,No Mapping,TN,0.024816155
1726,"238    158005
Name: id, dtype: int64",21502,No Mapping,TN,0.024762247
1727,"350    217466
Name: id, dtype: int64",57418,No Mapping,TN,0.024743032
1728,"75    49480
Name: id, dtype: int64",80112,No Mapping,TN,0.024742966
1729,"350    217466
Name: id, dtype: int64",217517,No Mapping,TN,0.02474226
1730,"75    49480
Name: id, dtype: int64",71344,No Mapping,TN,0.024715823
1731,"52    43447
Name: id, dtype: int64",35347,No Mapping,TN,0.024701262
1732,"118    80094
Name: id, dtype: int64",217453,No Mapping,TN,0.024699802
1733,"75    49480
Name: id, dtype: int64",217435,No Mapping,TN,0.024672551
1734,"1    21448
Name: id, dtype: int64",85804,No Mapping,TN,0.024659574
1735,"350    217466
Name: id, dtype: int64",217522,No Mapping,TN,0.024648501
1736,"37    38658
Name: id, dtype: int64",214878,No Mapping,TN,0.024643593
1737,"292    214888
Name: id, dtype: int64",110164,No Mapping,TN,0.024586885
1738,"37    38658
Name: id, dtype: int64",172099,No Mapping,TN,0.024577081
1739,"374    217490
Name: id, dtype: int64",57376,No Mapping,TN,0.024559861
1740,"302    217418
Name: id, dtype: int64",172082,No Mapping,TN,0.024541991
1741,"118    80094
Name: id, dtype: int64",217446,No Mapping,TN,0.024517096
1742,"238    158005
Name: id, dtype: int64",217484,No Mapping,TN,0.024459413
1743,"35    37252
Name: id, dtype: int64",21504,No Mapping,TN,0.024417598
1744,"46    40617
Name: id, dtype: int64",214883,No Mapping,TN,0.024408196
1745,"227    151832
Name: id, dtype: int64",57372,No Mapping,TN,0.024357766
1746,"302    217418
Name: id, dtype: int64",157295,No Mapping,TN,0.024332484
1747,"35    37252
Name: id, dtype: int64",71343,No Mapping,TN,0.024327692
1748,"46    40617
Name: id, dtype: int64",217519,No Mapping,TN,0.02432061
1749,"52    43447
Name: id, dtype: int64",137143,No Mapping,TN,0.024318529
1750,"302    217418
Name: id, dtype: int64",214874,No Mapping,TN,0.024248994
1751,"197    120639
Name: id, dtype: int64",217535,No Mapping,TN,0.024232677
1752,"374    217490
Name: id, dtype: int64",57385,No Mapping,TN,0.024221641
1753,"52    43447
Name: id, dtype: int64",139673,No Mapping,TN,0.024215535
1754,"46    40617
Name: id, dtype: int64",217442,No Mapping,TN,0.024186163
1755,"46    40617
Name: id, dtype: int64",217443,No Mapping,TN,0.024186163
1756,"326    217442
Name: id, dtype: int64",40617,No Mapping,TN,0.024186163
1757,"374    217490
Name: id, dtype: int64",172083,No Mapping,TN,0.024175981
1758,"35    37252
Name: id, dtype: int64",214943,No Mapping,TN,0.02413785
1759,"238    158005
Name: id, dtype: int64",214889,No Mapping,TN,0.024128024
1760,"75    49480
Name: id, dtype: int64",42951,No Mapping,TN,0.024121081
1761,"52    43447
Name: id, dtype: int64",217481,No Mapping,TN,0.024117731
1762,"75    49480
Name: id, dtype: int64",217536,No Mapping,TN,0.024095814
1763,"52    43447
Name: id, dtype: int64",57410,No Mapping,TN,0.024086194
1764,"46    40617
Name: id, dtype: int64",21474,No Mapping,TN,0.024082551
1765,"238    158005
Name: id, dtype: int64",80092,No Mapping,TN,0.024063599
1766,"227    151832
Name: id, dtype: int64",80103,No Mapping,TN,0.024034124
1767,"374    217490
Name: id, dtype: int64",25227,No Mapping,TN,0.02403398
1768,"326    217442
Name: id, dtype: int64",80104,No Mapping,TN,0.023943613
1769,"374    217490
Name: id, dtype: int64",80106,No Mapping,TN,0.023917845
1770,"1    21448
Name: id, dtype: int64",57360,No Mapping,TN,0.023865682
1771,"46    40617
Name: id, dtype: int64",217429,No Mapping,TN,0.023865145
1772,"241    172079
Name: id, dtype: int64",172102,No Mapping,TN,0.023854574
1773,"292    214888
Name: id, dtype: int64",35723,No Mapping,TN,0.023841741
1774,"1    21448
Name: id, dtype: int64",110127,No Mapping,TN,0.023825778
1775,"75    49480
Name: id, dtype: int64",57364,No Mapping,TN,0.023811205
1776,"292    214888
Name: id, dtype: int64",217462,No Mapping,TN,0.02379241
1777,"292    214888
Name: id, dtype: int64",217463,No Mapping,TN,0.02379241
1778,"52    43447
Name: id, dtype: int64",37468,No Mapping,TN,0.023765249
1779,"35    37252
Name: id, dtype: int64",110164,No Mapping,TN,0.023764435
1780,"374    217490
Name: id, dtype: int64",85803,No Mapping,TN,0.023718376
1781,"118    80094
Name: id, dtype: int64",85810,No Mapping,TN,0.023714098
1782,"350    217466
Name: id, dtype: int64",80096,No Mapping,TN,0.023709134
1783,"75    49480
Name: id, dtype: int64",85880,No Mapping,TN,0.023701528
1784,"241    172079
Name: id, dtype: int64",217434,No Mapping,TN,0.023699223
1785,"46    40617
Name: id, dtype: int64",110172,No Mapping,TN,0.023688403
1786,"350    217466
Name: id, dtype: int64",49416,No Mapping,TN,0.023654737
1787,"197    120639
Name: id, dtype: int64",217539,No Mapping,TN,0.023653406
1788,"227    151832
Name: id, dtype: int64",23878,No Mapping,TN,0.023648828
1789,"241    172079
Name: id, dtype: int64",71348,No Mapping,TN,0.023648821
1790,"35    37252
Name: id, dtype: int64",35996,No Mapping,TN,0.023620836
1791,"52    43447
Name: id, dtype: int64",217522,No Mapping,TN,0.02360648
1792,"302    217418
Name: id, dtype: int64",85804,No Mapping,TN,0.023599802
1793,"227    151832
Name: id, dtype: int64",110152,No Mapping,TN,0.023581162
1794,"374    217490
Name: id, dtype: int64",172080,No Mapping,TN,0.023540481
1795,"118    80094
Name: id, dtype: int64",217531,No Mapping,TN,0.023508285
1796,"35    37252
Name: id, dtype: int64",217457,No Mapping,TN,0.023504634
1797,"350    217466
Name: id, dtype: int64",217463,No Mapping,TN,0.023500469
1798,"350    217466
Name: id, dtype: int64",217462,No Mapping,TN,0.023500469
1799,"326    217442
Name: id, dtype: int64",40543,No Mapping,TN,0.023496579
1800,"1    21448
Name: id, dtype: int64",21413,No Mapping,TN,0.023488031
1801,"241    172079
Name: id, dtype: int64",21499,No Mapping,TN,0.02344834
1802,"197    120639
Name: id, dtype: int64",172089,No Mapping,TN,0.023435169
1803,"35    37252
Name: id, dtype: int64",110157,No Mapping,TN,0.023426809
1804,"241    172079
Name: id, dtype: int64",217437,No Mapping,TN,0.023368474
1805,"350    217466
Name: id, dtype: int64",214876,No Mapping,TN,0.023366187
1806,"374    217490
Name: id, dtype: int64",217529,No Mapping,TN,0.02336517
1807,"1    21448
Name: id, dtype: int64",214934,No Mapping,TN,0.023332509
1808,"247    172085
Name: id, dtype: int64",214886,No Mapping,TN,0.023321995
1809,"241    172079
Name: id, dtype: int64",80113,No Mapping,TN,0.023316494
1810,"350    217466
Name: id, dtype: int64",217536,No Mapping,TN,0.023305813
1811,"238    158005
Name: id, dtype: int64",57378,No Mapping,TN,0.023292494
1812,"35    37252
Name: id, dtype: int64",190512,No Mapping,TN,0.023284159
1813,"46    40617
Name: id, dtype: int64",49198,No Mapping,TN,0.023193597
1814,"374    217490
Name: id, dtype: int64",110147,No Mapping,TN,0.023115903
1815,"374    217490
Name: id, dtype: int64",21506,No Mapping,TN,0.023095728
1816,"35    37252
Name: id, dtype: int64",120636,No Mapping,TN,0.023083562
1817,"75    49480
Name: id, dtype: int64",138709,No Mapping,TN,0.023066749
1818,"292    214888
Name: id, dtype: int64",217475,No Mapping,TN,0.023057259
1819,"46    40617
Name: id, dtype: int64",172080,No Mapping,TN,0.023051053
1820,"238    158005
Name: id, dtype: int64",217488,No Mapping,TN,0.023048401
1821,"52    43447
Name: id, dtype: int64",217456,No Mapping,TN,0.023047819
1822,"1    21448
Name: id, dtype: int64",214885,No Mapping,TN,0.023034607
1823,"37    38658
Name: id, dtype: int64",36979,No Mapping,TN,0.023032492
1824,"292    214888
Name: id, dtype: int64",217493,No Mapping,TN,0.023015803
1825,"52    43447
Name: id, dtype: int64",120637,No Mapping,TN,0.022984375
1826,"75    49480
Name: id, dtype: int64",71341,No Mapping,TN,0.022981395
1827,"326    217442
Name: id, dtype: int64",21512,No Mapping,TN,0.02293415
1828,"1    21448
Name: id, dtype: int64",217472,No Mapping,TN,0.022928855
1829,"227    151832
Name: id, dtype: int64",217466,No Mapping,TN,0.022858341
1830,"350    217466
Name: id, dtype: int64",151832,No Mapping,TN,0.022858341
1831,"241    172079
Name: id, dtype: int64",35347,No Mapping,TN,0.022844524
1832,"326    217442
Name: id, dtype: int64",21500,No Mapping,TN,0.022831108
1833,"118    80094
Name: id, dtype: int64",217536,No Mapping,TN,0.022825785
1834,"247    172085
Name: id, dtype: int64",57380,No Mapping,TN,0.02281729
1835,"46    40617
Name: id, dtype: int64",110150,No Mapping,TN,0.022800285
1836,"52    43447
Name: id, dtype: int64",217468,No Mapping,TN,0.022800172
1837,"241    172079
Name: id, dtype: int64",57380,No Mapping,TN,0.022777037
1838,"227    151832
Name: id, dtype: int64",172081,No Mapping,TN,0.022773974
1839,"238    158005
Name: id, dtype: int64",44040,No Mapping,TN,0.022746773
1840,"227    151832
Name: id, dtype: int64",35776,No Mapping,TN,0.022721804
1841,"75    49480
Name: id, dtype: int64",214973,No Mapping,TN,0.022706893
1842,"1    21448
Name: id, dtype: int64",80108,No Mapping,TN,0.022699358
1843,"238    158005
Name: id, dtype: int64",71341,No Mapping,TN,0.022689793
1844,"374    217490
Name: id, dtype: int64",190526,No Mapping,TN,0.022682291
1845,"374    217490
Name: id, dtype: int64",21413,No Mapping,TN,0.022680253
1846,"374    217490
Name: id, dtype: int64",57377,No Mapping,TN,0.022678225
1847,"37    38658
Name: id, dtype: int64",21448,No Mapping,TN,0.022662431
1848,"1    21448
Name: id, dtype: int64",38658,No Mapping,TN,0.022662431
1849,"227    151832
Name: id, dtype: int64",217422,No Mapping,TN,0.022640446
1850,"238    158005
Name: id, dtype: int64",139571,No Mapping,TN,0.022617921
1851,"75    49480
Name: id, dtype: int64",138339,No Mapping,TN,0.022587208
1852,"227    151832
Name: id, dtype: int64",214884,No Mapping,TN,0.022550958
1853,"1    21448
Name: id, dtype: int64",110146,No Mapping,TN,0.022501447
1854,"241    172079
Name: id, dtype: int64",217430,No Mapping,TN,0.022479435
1855,"75    49480
Name: id, dtype: int64",47017,No Mapping,TN,0.022455991
1856,"241    172079
Name: id, dtype: int64",172093,No Mapping,TN,0.022449378
1857,"241    172079
Name: id, dtype: int64",40854,No Mapping,TN,0.022441548
1858,"52    43447
Name: id, dtype: int64",80093,No Mapping,TN,0.022438926
1859,"227    151832
Name: id, dtype: int64",43318,No Mapping,TN,0.022419532
1860,"238    158005
Name: id, dtype: int64",110137,No Mapping,TN,0.022397862
1861,"292    214888
Name: id, dtype: int64",217492,No Mapping,TN,0.022382427
1862,"35    37252
Name: id, dtype: int64",138709,No Mapping,TN,0.022361854
1863,"241    172079
Name: id, dtype: int64",78169,No Mapping,TN,0.022337085
1864,"227    151832
Name: id, dtype: int64",57382,No Mapping,TN,0.022317735
1865,"227    151832
Name: id, dtype: int64",134825,No Mapping,TN,0.022307935
1866,"238    158005
Name: id, dtype: int64",78171,No Mapping,TN,0.022296781
1867,"374    217490
Name: id, dtype: int64",172100,No Mapping,TN,0.022296233
1868,"75    49480
Name: id, dtype: int64",57410,No Mapping,TN,0.022277342
1869,"75    49480
Name: id, dtype: int64",214943,No Mapping,TN,0.022239723
1870,"35    37252
Name: id, dtype: int64",172082,No Mapping,TN,0.022218696
